"temperature_2m","windspeed_100m","sin_wd_100","Power"
28.5,1.26,0.309016994374948,0.1635
28.4,3.99,0.374606593415912,0.1424
26.8,2.78,0.5,0.1214
27.4,2.69,0.965925826289068,0.1003
27.3,4.43,0.994521895368273,0.0793
27.6,5.59,0.984807753012208,0.0778
26.7,5.82,0.978147600733806,0.0959
28.4,6.24,0.978147600733806,0.1141
30.2,6.89,0.987688340595138,0.1322
34,6.01,0.997564050259824,0.1503
35.6,5.32,0.996194698091746,0.1684
36.2,4.65,0.987688340595138,0.1866
36.2,4.55,0.987688340595138,0.2066
35.9,3.92,0.994521895368273,0.2286
36.2,4.81,0.997564050259824,0.2506
35.4,4.82,0.996194698091746,0.2726
32.3,5.53,0.994521895368273,0.2945
32.8,6.07,0.987688340595138,0.3165
34.9,5.81,0.998629534754574,0.3162
35.7,5.79,0.951056516295154,0.2936
35.7,3.11,0.994521895368273,0.271
35.5,5.35,0.956304755963036,0.2484
35.7,6.91,0.927183854566787,0.2257
36,6.15,0.927183854566787,0.2031
36.1,5.6,0.999390827019096,0.1805
36.6,5.77,0.882947592858927,0.1579
36.6,3.39,0.707106781186548,0.1353
36.6,2.42,0.992546151641322,0.1127
36.3,1.63,0.681998360062498,0.0901
36.5,2.82,0.92050485345244,0.0858
35.9,3.86,0.984807753012208,0.0998
36.3,3.45,0.984807753012208,0.1138
36.6,4.62,0.951056516295154,0.1278
37.4,4.9,0.939692620785908,0.1418
37.9,4.2,0.90630778703665,0.1558
38.5,2.65,0.981627183447664,0.1698
38.8,1.58,0.819152044288992,0.1839
39,1.49,0.342020143325669,0.1979
38.7,2.2,-0.629320391049838,0.2119
38.4,3.41,-0.529919264233205,0.2259
38,4.88,-0.681998360062498,0.2399
37.2,5.73,-0.73135370161917,0.2539
36.4,4.53,-0.515038074910054,0.2909
36.2,5.52,-0.848048096156426,0.3508
35.7,5.46,-0.898794046299167,0.4107
35.4,5.7,-0.927183854566787,0.4706
35,8.14,-0.981627183447664,0.5306
34,10.41,-0.961261695938319,0.5905
33.7,8.32,-0.939692620785908,0.6504
32.6,10.11,-0.987688340595138,0.7103
32.3,9.93,-0.987688340595138,0.7702
31.9,11.81,-0.99026806874157,0.8301
28.7,11.93,-0.997564050259824,0.89
25.9,12.3,-1,0.9207
25.4,13.42,-0.998629534754574,0.9221
21.9,12.81,-0.999390827019096,0.9235
19.2,13.81,-0.999390827019096,0.9248
17.4,13.51,-0.999390827019096,0.9262
17.8,14.13,-0.997564050259824,0.9276
17.7,13.96,-0.996194698091746,0.929
17.7,13.81,-0.999390827019096,0.9259
17.1,13.9,-1,0.9183
16.1,13.8,-1,0.9107
15.7,13.7,-1,0.9031
14.8,13.1,-0.999847695156391,0.8955
14.6,13.42,-0.998629534754574,0.8879
14.1,12.6,-1,0.8775
13.8,12.4,-1,0.8642
13,12.1,-1,0.851
12.6,11.4,-0.999390827019096,0.8378
12.7,10.4,-0.999847695156391,0.8246
12.8,10.32,-0.998629534754574,0.8114
12.8,10.43,-0.997564050259824,0.7982
12.3,10.15,-0.994521895368273,0.785
11.5,9.63,-0.996194698091746,0.7718
11.3,9.06,-0.994521895368273,0.7586
11.6,8.96,-0.981627183447664,0.7454
11.6,8.05,-0.994521895368273,0.7322
11.7,8.14,-0.981627183447664,0.7191
11.5,7.72,-0.956304755963035,0.706
12.1,7.28,-0.961261695938319,0.693
12.8,8.67,-0.992546151641322,0.6799
13.3,8.88,-0.99026806874157,0.6668
13.4,8.63,-0.984807753012208,0.6537
13.4,8.9,-0.99026806874157,0.6569
13,9.07,-0.992546151641322,0.6762
13.1,8.74,-0.996194698091746,0.6956
12.3,8.76,-0.992546151641322,0.715
11.4,7.71,-0.984807753012208,0.7344
10.3,7.32,-0.970295726275996,0.7537
7.8,8.13,-0.933580426497202,0.7421
6.4,8.38,-0.939692620785908,0.6993
5.6,8.13,-0.961261695938319,0.6566
4.7,8.22,-0.951056516295154,0.6139
