"temperature_2m","windspeed_100m","sin_wd_100","Power"
29.7,8.46,0.777145961456971,0.3438
29.6,8.43,0.829037572555042,0.3954
29.8,9.18,0.838670567945424,0.4471
29.8,8.88,0.809016994374947,0.4988
30.2,8.36,0.798635510047293,0.5504
30.1,7.55,0.819152044288992,0.5731
30.8,7.78,0.898794046299167,0.5668
31.3,7.11,0.898794046299167,0.5605
31.3,6.35,0.898794046299167,0.5542
31.2,6.11,0.933580426497202,0.5479
31.5,6.17,0.90630778703665,0.5415
32.7,5.46,0.898794046299167,0.5352
32.8,4.4,0.933580426497202,0.5289
33.4,3.57,0.951056516295154,0.5226
33.8,4.18,0.933580426497202,0.5163
34.3,3.7,0.945518575599317,0.51
34.2,3.91,0.998629534754574,0.5037
33.6,3.35,0.891006524188368,0.4974
33.5,3.45,0.5,0.4911
33.4,3.4,0.241921895599668,0.4848
33.2,4.71,-0.292371704722737,0.4784
32.9,5.86,-0.453990499739547,0.4721
32.7,6.4,-0.484809620246337,0.4658
32.4,6.6,-0.573576436351046,0.4595
31.8,7.41,-0.573576436351046,0.4532
31.7,8.37,-0.64278760968654,0.4469
30.9,9.02,-0.587785252292473,0.4406
29.3,9.28,-0.601815023152048,0.4343
28.8,9.81,-0.629320391049838,0.428
27.2,10.71,-0.573576436351046,0.4216
23.6,12.16,-0.719339800338651,0.4153
21.4,11.1,-0.615661475325658,0.409
19.3,10.95,-0.629320391049838,0.4027
17.6,12.24,-0.681998360062498,0.3964
17.5,12.86,-0.601815023152048,0.3901
17.1,12.58,-0.601815023152048,0.3838
17.9,12.06,-0.601815023152048,0.3775
18.6,11.73,-0.629320391049838,0.3712
18.2,11.96,-0.587785252292473,0.3649
18,11.72,-0.601815023152048,0.3585
16.5,10.79,-0.64278760968654,0.3522
15.1,10.27,-0.656059028990507,0.3459
12,9.78,-0.754709580222772,0.3396
10.4,10.7,-0.743144825477395,0.3333
9,10.79,-0.766044443118978,0.327
8,9.82,-0.788010753606722,0.3207
6.9,10.15,-0.829037572555042,0.3144
5.8,10.38,-0.848048096156426,0.3081
4.7,9.95,-0.866025403784439,0.3018
3.8,9.71,-0.874619707139396,0.2954
3.1,9.53,-0.882947592858927,0.2891
2.6,9.5,-0.866025403784439,0.2828
2,9.47,-0.857167300702112,0.2765
1.5,8.72,-0.798635510047293,0.2702
0.8,8,-0.798635510047293,0.2639
0.4,7.87,-0.766044443118978,0.2576
0.1,7.66,-0.838670567945424,0.2513
1.7,8.1,-0.819152044288992,0.245
4,7.16,-0.754709580222772,0.2386
6.8,6.78,-0.798635510047293,0.2323
9.2,6.96,-0.819152044288992,0.226
11.1,7.05,-0.848048096156426,0.2197
11.7,6.72,-0.866025403784439,0.2134
11.7,6.52,-0.809016994374948,0.2071
11.2,6.66,-0.754709580222772,0.2008
10.3,6.32,-0.573576436351046,0.1945
8.2,4.96,-0.669130606358858,0.1882
8.2,4.25,-0.754709580222772,0.1819
8.4,4.41,-0.838670567945424,0.1755
8.5,4.66,-0.92050485345244,0.1692
